"quest_rk","legend_rk","location_rk","quest_nm"
15,17,47,Подпольное казино
31,64,13,Огни ночного города
12,17,39,Мораторий
28,40,31,Поиск жизни
9,61,28,Реактивный восходящий тренд
25,15,58,Ограбление по-мексикански
6,91,51,Автоматический дискретный экстранет
22,21,12,Привет Андрей!
7,72,29,МСК 2033
23,69,12,Погружение в виртуальную реальность
2,90,29,Инновационная параллельность
18,33,64,Анигиляция 6-го поколения
5,56,1,Будущее системное отношение
21,63,36,Объектно-ориентированный ЯП
4,52,61,Синхронизированое региональное плечо
20,96,56,Спокойной ночи
14,60,27,Настройка масштабируемой матрицы
30,22,24,ФБР vs ФСБ
1,98,53,Ассимиляция свежего мышления
17,34,31,Оперативные работники
10,91,51,Тройная буферизация глобальной стандартизации
26,38,42,Нейронная сеть
13,57,39,Согласование
29,41,64,Поиск смысла жизни
16,98,32,Модернизированная миграция
32,23,27,Обратная связь
3,96,26,Очного выделенный шифрования
19,40,34,Чистое небо
8,86,4,Инкрементация
24,64,51,Распространение логистического контроля
11,36,26,Глубокий включенный в сетку проект
27,64,10,Высадка на Марс
